CODMEC,ANO,DEP,NOME,SETEDU,DISTRITO07,SUBPREF,CORED,ZONA,EFABAND9ANOS1S,EFABAND9ANOS2S,EFABAND9ANOS3S,EFABAND9ANOS4S,EFABAND9ANOS5S,EFABAND9ANOS6S,EFABAND9ANOS7S,EFABAND9ANOS8S,EFABAND9ANOS9S,EFABAND1S,EFABAND2S,EFABAND3S,EFABAND4S,EFABAND5S,EFABAND6S,EFABAND7S,EFABAND8S,TOTALEF_ABAND,EFAPROV9ANOS1S,EFAPROV9ANOS2S,EFAPROV9ANOS3S,EFAPROV9ANOS4S,EFAPROV9ANOS5S,EFAPROV9ANOS6S,EFAPROV9ANOS7S,EFAPROV9ANOS8S,EFAPROV9ANOS9S,EFAPROV1S,EFAPROV2S,EFAPROV3S,EFAPROV4S,EFAPROV5S,EFAPROV6S,EFAPROV7S,EFAPROV8S,TOTALEF_APROV,EFREPROV9ANOS1S,EFREPROV9ANOS2S,EFREPROV9ANOS3S,EFREPROV9ANOS4S,EFREPROV9ANOS5S,EFREPROV9ANOS6S,EFREPROV9ANOS7S,EFREPROV9ANOS8S,EFREPROV9ANOS9S,EFREPROV1S,EFREPROV2S,EFREPROV3S,EFREPROV4S,EFREPROV5S,EFREPROV6S,EFREPROV7S,EFREPROV8S,TOTALEF_REPROV,CONCLUINTES_EF,EMABAND1S,EMABAND2S,EMABAND3S,EMABAND4S,TOTAL_EM_ABAND,EMREPROV1S,EMREPROV2S,EMREPROV3S,EMREPROV4S,TOTAL_EM_REPROV,EMAPROV1S,EMAPROV2S,EMAPROV3S,EMAPROV4S,TOTAL_EM_APROV,CONCLUINTES_EM,CONCLUINTES_EJA,EPAPROV,EPREPROV,EPABAND,EJAIABAND,EJAIAPROV,EJAIREPROV,EJAITOTAL,EJAIIABAND,EJAIIAPROV,EJAIIREPROV,EJAIITOTAL,"EJATOTAL,,"
35053200,2014,MUNICIPAL,IBRAHIM NOBRE,6704,RIO PEQUENO,BUTANTA,BUTANTA,OESTE,0,0,1,2,2,1,6,7,8,0,0,0,0,0,0,0,0,0,71,49,58,63,59,17,38,43,71,0,0,0,0,0,0,0,0,0,1,2,23,1,1,8,15,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,,"
35053211,2014,MUNICIPAL,JOAO XXIII,6505,RAPOSO TAVARES,BUTANTA,BUTANTA,OESTE,1,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,90,92,88,102,99,0,100,98,106,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,9,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,18,20,26,64,56,74,91,221,"285,,"
35053223,2014,MUNICIPAL,JULIO MESQUITA,1201,BUTANTA,BUTANTA,BUTANTA,OESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,94,88,99,66,47,114,122,128,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,12,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,,"
35053235,2014,MUNICIPAL,"DEODORO DA FONSECA, MAL.",1203,BUTANTA,BUTANTA,BUTANTA,OESTE,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,75,56,58,59,96,38,98,98,128,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,19,15,6,40,1,29,11,41,"81,"
35053247,2014,MUNICIPAL,"ESPIRIDIAO ROSAS, MAL.",4102,JAGUARE,LAPA,PIRITUBA,OESTE,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,69,63,58,71,84,13,41,44,42,0,0,0,0,0,0,0,0,0,1,0,6,3,1,3,19,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,15,14,24,53,18,46,37,101,"154,"
35053259,2014,MUNICIPAL,"LUIZ EDUARDO MATARAZZO, CDE.",6702,RIO PEQUENO,BUTANTA,BUTANTA,OESTE,0,0,0,0,0,0,6,8,5,0,0,0,0,0,0,0,0,0,87,96,92,113,100,36,74,82,96,0,0,0,0,0,0,0,0,0,1,0,14,2,1,12,20,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,7,10,4,21,40,44,4,88,"109,"
35053260,2014,MUNICIPAL,"ROBERTO MANGE, PROF.",6703,RIO PEQUENO,BUTANTA,BUTANTA,OESTE,3,0,1,2,0,8,6,5,10,0,0,0,0,0,0,0,0,0,60,72,74,69,58,37,64,62,93,0,0,0,0,0,0,0,0,0,1,3,9,1,0,5,6,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053272,2014,MUNICIPAL,TARSILA DO AMARAL,9401,VILA SONIA,BUTANTA,BUTANTA,OESTE,2,0,1,0,0,0,1,4,8,0,0,0,0,0,0,0,0,0,52,85,56,96,99,0,89,76,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,"0,,"
35053284,2014,MUNICIPAL,"ALIPIO ANDRADA SERPA, TTE.",6503,RAPOSO TAVARES,BUTANTA,BUTANTA,OESTE,4,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,65,65,48,53,52,18,47,52,49,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,6,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053429,2014,MUNICIPAL,"JOAO CARLOS DA SILVA BORGES, PROF.",3202,MOEMA,VILA MARIANA,IPIRANGA,SUL,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,54,39,49,41,0,31,51,44,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053296,2014,MUNICIPAL,CECILIA MEIRELES,1804,CANGAIBA,PENHA,PENHA,LESTE,0,27,0,2,0,0,7,4,8,0,0,0,0,0,0,0,0,0,81,50,84,98,97,0,88,84,121,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,25,63,10,98,"98,,"
35053302,2014,MUNICIPAL,EDGARD CAVALHEIRO,1804,CANGAIBA,PENHA,PENHA,LESTE,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,87,83,68,69,0,0,65,85,102,0,0,0,0,0,0,0,0,0,6,4,7,2,0,0,16,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,46,20,19,85,28,93,104,225,"310,,"
35053314,2014,MUNICIPAL,ROQUETTE PINTO,404,ARICANDUVA,ARICANDUVA/FORMOSA/CARRAO,ITAQUERA,LESTE,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,84,85,95,104,101,0,135,108,111,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,26,18,4,48,24,83,48,155,"203,,"
35053326,2014,MUNICIPAL,VICENTINA RIBEIRO DA LUZ,404,ARICANDUVA,ARICANDUVA/FORMOSA/CARRAO,ITAQUERA,LESTE,0,0,0,0,0,0,12,2,11,0,0,0,0,0,0,0,0,0,73,47,53,66,70,0,105,78,62,0,0,0,0,0,0,0,0,0,2,2,10,1,0,0,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,23,13,26,62,94,37,29,160,"222,,"
35053348,2014,MUNICIPAL,"GARCIA DAVILA, CTE.",2102,CASA VERDE,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,0,2,2,0,1,0,3,2,2,0,0,0,0,0,0,0,0,0,88,88,80,100,103,0,125,90,104,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,8,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053351,2014,MUNICIPAL,"ANGELINA MAFFEI VITA, DA.",2102,CASA VERDE,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,2,0,0,0,0,0,2,4,11,0,0,0,0,0,0,0,0,0,83,91,74,92,133,0,117,112,116,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,12,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,13,18,15,46,49,62,81,192,"238,"
35053363,2014,MUNICIPAL,HUMBERTO DANTAS,5002,LIMAO,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,5,1,1,4,1,0,6,10,13,0,0,0,0,0,0,0,0,0,92,86,59,102,70,0,89,89,61,0,0,0,0,0,0,0,0,0,1,0,8,2,1,0,12,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,,"
35053375,2014,MUNICIPAL,PAULO NOGUEIRA FILHO,2105,CASA VERDE,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45,53,45,48,51,0,59,66,51,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,8,35,11,54,"54,,"
35053387,2014,MUNICIPAL,BERNARDO O HIGGINS,1501,CAMPO BELO,SANTO AMARO,SANTO AMARO,SUL,5,0,0,1,0,2,6,7,8,0,0,0,0,0,0,0,0,0,46,60,63,66,63,55,102,107,105,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,20,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,38,22,24,84,133,119,36,288,"372,,"
35053399,2014,MUNICIPAL,CHIQUINHA RODRIGUES,1502,CAMPO BELO,SANTO AMARO,SANTO AMARO,SUL,0,0,0,0,1,0,6,3,5,0,0,0,0,0,0,0,0,0,20,30,26,33,44,0,44,52,87,0,0,0,0,0,0,0,0,0,2,2,7,3,2,0,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,,"
35053405,2014,MUNICIPAL,"JOSE DIAS DA SILVEIRA, DR.",3504,ITAIM BIBI,PINHEIROS,BUTANTA,OESTE,2,0,1,0,0,2,7,6,3,0,0,0,0,0,0,0,0,0,68,58,48,60,62,37,59,55,71,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,26,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053417,2014,MUNICIPAL,"CALOGERAS, MIN.",1501,CAMPO BELO,SANTO AMARO,SANTO AMARO,SUL,0,0,0,0,1,0,2,3,6,0,0,0,0,0,0,0,0,0,54,56,51,63,56,0,74,80,81,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053028,2014,MUNICIPAL,EMILIANO DI CAVALCANTI,102,AGUA RASA,MOOCA,PENHA,LESTE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,32,23,29,45,0,77,63,74,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,,"
35053036,2014,MUNICIPAL,LEONOR MENDES DE BARROS,102,AGUA RASA,MOOCA,PENHA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,46,51,43,49,0,35,14,45,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,,"
35053041,2014,MUNICIPAL,CELSO LEITE RIBEIRO FILHO,701,BELA VISTA,SE,IPIRANGA,CENTRO,4,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,82,89,92,102,101,0,101,99,118,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,92,96,30,218,"218,,"
35053053,2014,MUNICIPAL,CASTRO ALVES,1106,BRASILANDIA,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,4,2,0,2,1,2,8,10,9,0,0,0,0,0,0,0,0,0,102,112,105,117,123,26,111,74,45,0,0,0,0,0,0,0,0,0,0,0,13,1,5,6,5,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,28,78,30,136,"136,,"
35053065,2014,MUNICIPAL,"SEBASTIAO NOGUEIRA DE LIMA, DES.",1106,BRASILANDIA,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,1,4,0,2,0,0,6,3,6,0,0,0,0,0,0,0,0,0,99,135,87,107,94,0,98,54,115,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,63,49,0,112,"112,"
35053077,2014,MUNICIPAL,"RAUL FERNANDES, EMB.",1108,BRASILANDIA,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,1,1,0,2,1,0,4,2,2,0,0,0,0,0,0,0,0,0,60,73,52,72,109,0,93,67,82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053089,2014,MUNICIPAL,"ANDRE RODRIGUES DE ALCKMIN, PROF.",1105,BRASILANDIA,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,1,1,1,0,1,2,10,8,14,0,0,0,0,0,0,0,0,0,61,113,117,133,144,19,153,102,131,0,0,0,0,0,0,0,0,0,0,1,26,0,1,3,26,41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,81,84,28,193,"193,"
35053090,2014,MUNICIPAL,"JOANINHA GRASSI FAGUNDES, PROFA.",2906,FREGUESIA DO O,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,1,1,0,1,3,0,8,8,2,0,0,0,0,0,0,0,0,0,60,55,61,89,74,0,85,69,77,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053430,2014,MUNICIPAL,"FRANCISCO MEIRELLES, DES.",3405,IPIRANGA,IPIRANGA,IPIRANGA,SUL,0,0,0,0,1,0,2,1,5,0,0,0,0,0,0,0,0,0,60,64,63,103,102,0,54,57,116,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,17,28,13,58,76,76,72,224,"282,"
35053442,2014,MUNICIPAL,"CAMPOS SALLES, PRES.",6801,SACOMA,IPIRANGA,IPIRANGA,SUL,0,0,0,0,1,0,3,3,2,0,0,0,0,0,0,0,0,0,80,87,83,98,95,0,89,84,88,0,0,0,0,0,0,0,0,0,2,1,8,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,23,24,17,64,89,91,23,203,"267,"
35053454,2014,MUNICIPAL,"ARY PARREIRAS, ALM.",3802,JABAQUARA,JABAQUARA,SANTO AMARO,SUL,0,0,1,1,1,0,3,3,10,0,0,0,0,0,0,0,0,0,79,93,116,102,99,0,79,78,105,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053466,2014,MUNICIPAL,ARMANDO ARRUDA PEREIRA,3804,JABAQUARA,JABAQUARA,SANTO AMARO,SUL,6,1,0,3,0,0,2,3,2,0,0,0,0,0,0,0,0,0,99,104,74,99,101,0,45,79,134,0,0,0,0,0,0,0,0,0,9,1,21,2,0,0,21,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,15,2,15,32,95,93,51,239,"271,,"
35053478,2014,MUNICIPAL,CACILDA BECKER,3803,JABAQUARA,JABAQUARA,SANTO AMARO,SUL,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,79,61,64,64,101,0,109,63,111,0,0,0,0,0,0,0,0,0,4,1,3,2,1,0,24,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,31,62,33,126,17,170,87,274,"400,,"
35053485,2014,MUNICIPAL,"HABIB CARLOS KYRILLOS, DR.",2203,CIDADE ADEMAR,CIDADE ADEMAR,SANTO AMARO,SUL,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,81,81,59,33,103,0,98,87,101,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,20,18,0,38,50,121,42,213,"251,"
35053491,2014,MUNICIPAL,MARINA VIEIRA DE CARVALHO MESQUITA,3805,JABAQUARA,JABAQUARA,SANTO AMARO,SUL,0,1,0,1,2,0,2,4,5,0,0,0,0,0,0,0,0,0,77,81,83,99,91,0,66,78,93,0,0,0,0,0,0,0,0,0,6,1,14,1,1,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,,"
35053508,2014,MUNICIPAL,"NELSON PIMENTEL QUEIROZ, PROF.",3803,JABAQUARA,JABAQUARA,SANTO AMARO,SUL,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,106,57,60,61,60,0,83,59,94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053512,2014,MUNICIPAL,"MARIA ANTONIETA D'ALKIMIN BASTO, PROFA.",3502,ITAIM BIBI,PINHEIROS,BUTANTA,OESTE,0,1,1,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,29,24,44,52,35,0,52,56,72,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,17,19,0,36,"36,"
